id,date,x_s,UTM_E,UTM_N
usa_NC_0034_0204,08-Dec-2019,12212.9101247735,457492.923867052,3931609.07841561
usa_NC_0034_0203,08-Dec-2019,12187.9141285922,457476.992392732,3931561.24319049
usa_NC_0034_0202,08-Dec-2019,12164.8979915043,457463.188451186,3931512.86482774
usa_NC_0034_0201,08-Dec-2019,12144.6361718706,457452.318130493,3931463.86166122
usa_NC_0034_0200,08-Dec-2019,12122.4384613,457439.387809647,3931415.28805691
usa_NC_0034_0199,08-Dec-2019,12102.4901915514,457428.851911698,3931366.21145575
usa_NC_0034_0198,08-Dec-2019,12080.078656393,457415.696028063,3931317.67543912
usa_NC_0034_0197,08-Dec-2019,12055.9182008339,457400.681855876,3931269.51371276
usa_NC_0034_0196,08-Dec-2019,12036.5810281532,457390.79737011,3931220.29581837
usa_NC_0034_0195,08-Dec-2019,12014.3979848,457377.888690603,3931171.68876404
usa_NC_0034_0194,08-Dec-2019,11995.8953999884,457368.892166741,3931122.2863357
usa_NC_0034_0193,08-Dec-2019,11977.81106085,457360.339551217,3931072.79686078
usa_NC_0034_0192,08-Dec-2019,11959.1426168523,457351.166102362,3931023.43340064
usa_NC_0034_0191,08-Dec-2019,11939.3599639139,457340.809558938,3930974.30443607
usa_NC_0034_0190,08-Dec-2019,11922.493103393,457333.547986625,3930924.56726726
usa_NC_0034_0189,08-Dec-2019,11905.3953256142,457326.040134825,3930874.88413106
usa_NC_0034_0188,08-Dec-2019,11888.7438429212,457318.992559412,3930825.17518125
usa_NC_0034_0187,08-Dec-2019,11873.8508549273,457313.78907189,3930775.21186718
usa_NC_0034_0186,08-Dec-2019,11851.7496030172,457300.937443521,3930726.73671459
usa_NC_0034_0185,08-Dec-2019,11827.1420625255,457285.427768753,3930678.77305605
usa_NC_0034_0184,08-Dec-2019,11799.1124289369,457266.289096741,3930631.5062596
usa_NC_0034_0183,08-Dec-2019,11781.2016948427,457257.883135839,3930582.16883021
usa_NC_0034_0182,08-Dec-2019,11758.904356422,457244.824965156,3930533.72660262
usa_NC_0034_0181,08-Dec-2019,11735.714555924,457230.82068307,3930485.46456088
usa_NC_0034_0180,08-Dec-2019,11715.3797269906,457219.844294655,3930436.61960791
usa_NC_0034_0179,08-Dec-2019,11697.244704653,457211.200653274,3930387.3270084
usa_NC_0034_0178,08-Dec-2019,11678.2261836847,457201.619781558,3930338.21589379
usa_NC_0034_0177,08-Dec-2019,11657.8062053945,457190.549962324,3930289.40396013
usa_NC_0034_0176,08-Dec-2019,11643.0156224658,457185.448863176,3930239.450861
usa_NC_0034_0175,08-Dec-2019,11625.3667132929,457177.317142824,3930190.07720273
usa_NC_0034_0174,08-Dec-2019,11610.8604702694,457172.517061258,3930140.06877335
usa_NC_0034_0173,08-Dec-2019,11591.6943601926,457162.776828531,3930091.00196806
usa_NC_0034_0172,08-Dec-2019,11571.8576221422,457152.325854657,3930042.06955574
usa_NC_0034_0171,08-Dec-2019,11551.88740773,457141.733611542,3929993.16293646
usa_NC_0034_0170,08-Dec-2019,11531.7377483444,457130.937333837,3929944.36161949
usa_NC_0034_0169,08-Dec-2019,11507.5195159356,457115.826273037,3929896.38990688
usa_NC_0034_0168,08-Dec-2019,11480.1071889608,457097.328587842,3929849.06567885
usa_NC_0034_0167,08-Dec-2019,11459.3795592982,457085.91681385,3929800.39497478
usa_NC_0034_0166,08-Dec-2019,11436.8771887569,457072.623220578,3929752.08454766
usa_NC_0034_0165,08-Dec-2019,11418.0762498563,457063.253580182,3929703.02674098
usa_NC_0034_0164,08-Dec-2019,11402.9443717662,457057.774039851,3929653.2257685
usa_NC_0034_0163,08-Dec-2019,11384.7848451162,457049.093778327,3929603.99137681
usa_NC_0034_0162,08-Dec-2019,11367.2414705615,457041.10505521,3929554.44068264
usa_NC_0034_0161,08-Dec-2019,11347.155078291,457030.420259908,3929505.40433766
usa_NC_0034_0160,08-Dec-2019,11328.8728464758,457021.647554005,3929456.00636989
usa_NC_0034_0159,08-Dec-2019,11311.8925000763,457014.253737552,3929406.35184674
usa_NC_0034_0158,08-Dec-2019,11292.42451338,457004.223752339,3929357.19450171
usa_NC_0034_0157,08-Dec-2019,11274.2044234741,456995.515433715,3929307.79144526
usa_NC_0034_0156,08-Dec-2019,11257.4400579231,456988.348147645,3929258.10549628
usa_NC_0034_0155,08-Dec-2019,11242.56994003,456983.185350615,3929208.05526496
usa_NC_0034_0154,08-Dec-2019,11224.8008284484,456974.952034756,3929158.57659862
usa_NC_0034_0153,08-Dec-2019,11206.9531960907,456966.632532123,3929109.12852737
usa_NC_0034_0152,08-Dec-2019,11190.8614592634,456960.149437677,3929059.45125961
usa_NC_0034_0151,08-Dec-2019,11177.6829496446,456956.748960117,3929009.21452172
usa_NC_0034_0150,08-Dec-2019,11162.0194773623,456950.718159103,3928959.45937463
usa_NC_0034_0149,08-Dec-2019,11146.2786436061,456944.605077686,3928909.72118997
usa_NC_0034_0148,08-Dec-2019,11127.5852721057,456935.367483285,3928860.55152539
usa_NC_0034_0147,08-Dec-2019,11106.3206310156,456923.40926617,3928811.874892
usa_NC_0034_0146,08-Dec-2019,11083.8386150704,456910.186019916,3928763.3162979
usa_NC_0034_0145,08-Dec-2019,11053.7536843659,456888.974432775,3928715.93432847
usa_NC_0034_0144,08-Dec-2019,11030.8825179,456875.397213977,3928667.16119015
usa_NC_0034_0143,08-Dec-2019,11008.0502019816,456861.864248342,3928618.36485879
usa_NC_0034_0142,08-Dec-2019,10992.7992181656,456856.339657677,3928568.18150178
usa_NC_0034_0141,08-Dec-2019,10974.3784639462,456847.465413432,3928518.58474728
usa_NC_0034_0140,08-Dec-2019,10959.2736987734,456842.088219723,3928468.40995965
usa_NC_0034_0139,08-Dec-2019,10940.7104516279,456833.059879887,3928418.85717173
usa_NC_0034_0138,08-Dec-2019,10920.2752904983,456822.073024203,3928369.55257475
usa_NC_0034_0137,08-Dec-2019,10903.2826145612,456814.738104508,3928319.54038878
usa_NC_0034_0136,08-Dec-2019,10887.8196081626,456809.012955439,3928269.27868435
usa_NC_0034_0135,08-Dec-2019,10866.7841212965,456797.423629546,3928219.92542609
usa_NC_0034_0134,08-Dec-2019,10848.8962678217,456789.148280973,3928170.05113066
usa_NC_0034_0133,08-Dec-2019,10830.4373015132,456780.273739847,3928120.26085379
usa_NC_0034_0132,08-Dec-2019,10811.0647145577,456770.441494167,3928070.60080052
usa_NC_0034_0131,08-Dec-2019,10793.3886727069,456762.341075718,3928020.93202941
usa_NC_0034_0130,08-Dec-2019,10775.5586346409,456754.075533007,3927971.30371165
usa_NC_0034_0129,08-Dec-2019,10753.5646472128,456741.442786493,3927922.28059618
usa_NC_0034_0128,08-Dec-2019,10735.8985771176,456733.351498816,3927872.61702022
usa_NC_0034_0127,08-Dec-2019,10718.2978512552,456725.329041272,3927822.94246431
usa_NC_0034_0126,08-Dec-2019,10699.0057130476,456715.534450328,3927773.50452745
usa_NC_0034_0125,08-Dec-2019,10679.5213210946,456705.539906471,3927724.08609954
usa_NC_0034_0124,08-Dec-2019,10665.1691298497,456700.921426903,3927673.95503961
usa_NC_0034_0123,08-Dec-2019,10645.8337136076,456691.084232019,3927624.50944763
usa_NC_0034_0122,08-Dec-2019,10625.06233675,456679.745727861,3927575.24881849
usa_NC_0034_0121,08-Dec-2019,10604.4023907129,456668.519143096,3927525.99676872
usa_NC_0034_0120,08-Dec-2019,10585.47924498,456659.018104381,3927476.97286918
usa_NC_0034_0119,08-Dec-2019,10568.4209250391,456651.435007585,3927427.86765257
usa_NC_0034_0118,08-Dec-2019,10550.4060540968,456642.848867782,3927378.9004633
usa_NC_0034_0117,08-Dec-2019,10532.4762658437,456634.349533093,3927329.933072
usa_NC_0034_0116,08-Dec-2019,10515.2982416405,456626.635091422,3927280.87426647
usa_NC_0034_0115,08-Dec-2019,10497.5717772847,456618.344367416,3927231.90053389
usa_NC_0034_0114,08-Dec-2019,10480.701475381,456610.948270964,3927182.81901171
usa_NC_0034_0113,08-Dec-2019,10464.8516060931,456604.609777975,3927133.65242886
usa_NC_0034_0112,08-Dec-2019,10446.8590033656,456595.97896202,3927085.02245731
usa_NC_0034_0111,08-Dec-2019,10431.1421872971,456589.729538354,3927036.08914989
usa_NC_0034_0110,08-Dec-2019,10414.3048388953,456582.301771594,3926987.33428963
usa_NC_0034_0109,08-Dec-2019,10397.0957838348,456574.480034044,3926938.65407275
usa_NC_0034_0108,08-Dec-2019,10379.7987736398,456566.561726263,3926890.00826722
usa_NC_0034_0107,08-Dec-2019,10365.8663039813,456562.142823223,3926841.02042045
usa_NC_0034_0106,08-Dec-2019,10352.0866825815,456557.980678817,3926791.52768932
usa_NC_0034_0105,08-Dec-2019,10335.3762760285,456550.712318671,3926742.6229222
usa_NC_0034_0104,08-Dec-2019,10320.1054089829,456545.105965407,3926692.74726554
usa_NC_0034_0103,08-Dec-2019,10307.9476473184,456542.816980155,3926642.15739633
