id,date,days_from_target,x_s,UTM_E,UTM_N
usa_NC_0045_0067,30-Dec-2023 15:41:22,1.34627314814815,1908.82341922667,432288.691418091,4005155.54493726
usa_NC_0045_0066,30-Dec-2023 15:41:22,1.34627314814815,1915.86896875301,432305.338141095,4005108.19412604
usa_NC_0045_0065,30-Dec-2023 15:41:22,1.34627314814815,1923.38686691845,432322.437748791,4005060.98745133
usa_NC_0045_0064,30-Dec-2023 15:41:22,1.34627314814815,1930.86087572575,432339.494564407,4005013.77094325
usa_NC_0045_0063,30-Dec-2023 15:41:22,1.34627314814815,1937.58639182888,432355.833057132,4004966.32940228
usa_NC_0045_0062,30-Dec-2023 15:41:22,1.34627314814815,1943.25568333773,432371.158569241,4004918.56695508
usa_NC_0045_0061,30-Dec-2023 15:41:22,1.34627314814815,1948.21345229497,432385.802153992,4004870.58600823
usa_NC_0045_0060,30-Dec-2023 15:41:22,1.34627314814815,1953.26959712324,432400.540504585,4004822.6328601
usa_NC_0045_0059,30-Dec-2023 15:41:22,1.34627314814815,1958.7264655478,432415.66331397,4004774.80075258
usa_NC_0045_0058,30-Dec-2023 15:41:22,1.34627314814815,1965.35765412084,432431.911572605,4004727.32939425
usa_NC_0045_0057,30-Dec-2023 15:41:22,1.34627314814815,1972.11259400543,432448.278229806,4004679.89706635
usa_NC_0045_0056,30-Dec-2023 15:41:22,1.34627314814815,1979.33762253129,432465.094924517,4004632.61158987
usa_NC_0045_0055,30-Dec-2023 15:41:22,1.34627314814815,1987.08648672234,432482.412861086,4004585.49100673
usa_NC_0045_0054,30-Dec-2023 15:41:22,1.34627314814815,1994.71986807573,432499.619669222,4004538.33720727
usa_NC_0045_0053,30-Dec-2023 15:41:22,1.34627314814815,2003.47003410259,432517.894950213,4004491.53566691
usa_NC_0045_0052,30-Dec-2023 15:41:22,1.34627314814815,2015.06748332797,432538.894204557,4004445.63291007
usa_NC_0045_0051,30-Dec-2023 15:41:22,1.34627314814815,2019.54273882883,432553.076685935,4004397.49708187
usa_NC_0045_0050,30-Dec-2023 15:41:22,1.34627314814815,2024.45935991629,432567.682052001,4004349.49740533
usa_NC_0045_0049,30-Dec-2023 15:41:22,1.34627314814815,2031.28186575661,432584.110815408,4004302.09908468
