id,date,x_s,UTM_E,UTM_N
usa_NC_0049_0094,01-Jan-1857,22.660423603985,424318.824829392,4035414.06442529
usa_NC_0049_0093,01-Jan-1857,32.4927069845401,424338.160969806,4035367.47632646
usa_NC_0049_0092,01-Jan-1857,93.2188964274251,424406.767409734,4035334.04853241
usa_NC_0049_0091,01-Jan-1857,94.1443042383296,424417.480820982,4035285.15726016
usa_NC_0049_0090,01-Jan-1857,92.2590831491095,424425.473266895,4035235.53920933
usa_NC_0049_0089,01-Jan-1857,90.2729799275266,424433.368050912,4035185.8950625
usa_NC_0049_0088,01-Jan-1857,89.6588016687094,424442.590992007,4035136.60567744
usa_NC_0049_0087,01-Jan-1857,89.5525821117401,424452.305686623,4035087.44764388
usa_NC_0049_0086,01-Jan-1857,43.5565865247652,424417.594573535,4035026.42327672
usa_NC_0049_0085,01-Jan-1857,101.011493628223,424483.03409038,4034992.14958677
usa_NC_0049_0084,01-Jan-1857,98.6744349979454,424490.589113639,4034942.41469608
usa_NC_0049_0083,01-Jan-1857,96.4581897802736,424498.261095267,4034892.71105009
usa_NC_0049_0082,01-Jan-1857,94.2556423149517,424505.946340123,4034843.01093381
usa_NC_0049_0081,01-Jan-1857,92.7525834780031,424514.308756929,4034793.49170219
usa_NC_0049_0080,01-Jan-1857,91.8703368924521,424523.272180636,4034744.13300379
usa_NC_0049_0079,01-Jan-1857,90.8025995143312,424532.056032224,4034694.72633467
usa_NC_0049_0078,01-Jan-1857,89.7101848389343,424540.815992976,4034645.31328836
usa_NC_0049_0077,01-Jan-1857,38.921675074705,424501.465250752,4034583.0496816
usa_NC_0049_0076,01-Jan-1857,40.5549072413755,424512.863910726,4034534.3414146
usa_NC_0049_0075,01-Jan-1857,42.760249627368,424524.816424829,4034485.78110942
usa_NC_0049_0074,01-Jan-1857,47.3750457367441,424539.10152376,4034437.84386338
usa_NC_0049_0073,01-Jan-1857,51.1585912920482,424552.581892514,4034389.69165998
usa_NC_0049_0072,01-Jan-1857,56.8462882735244,424567.905668517,4034342.03182971
usa_NC_0049_0071,01-Jan-1857,63.0928246214849,424583.770454327,4034294.51651378
usa_NC_0049_0070,01-Jan-1857,115.686185896845,424644.503521892,4034258.98568741
usa_NC_0049_0069,01-Jan-1857,113.489433731126,424652.194374402,4034209.28708353
usa_NC_0049_0068,01-Jan-1857,111.157157391137,424659.729497842,4034159.67618447
