angle_rad,angle_deg,wave_pdf,wave_cdf
0.340339204138894,19.5,0.00595275442855356,0.827963271496692
0.357792496658838,20.5,0.00562719065274755,0.833590462149439
0.375245789178781,21.5,0.00558370739913194,0.839174169548571
0.392699081698724,22.5,0.00523672872335561,0.844410898271927
0.410152374218667,23.5,0.00537978580371097,0.849790684075638
0.427605666738611,24.5,0.00533391970058876,0.855124603776227
0.445058959258554,25.5,0.00501284254714399,0.860137446323371
0.462512251778497,26.5,0.00508015307354189,0.865217599396913
0.479965544298441,27.5,0.00485466523931454,0.870072264636227
0.497418836818384,28.5,0.0050168711977879,0.875089135834015
0.514872129338327,29.5,0.00495139524807447,0.880040531082089
0.53232542185827,30.5,0.00469826256203883,0.884738793644128
0.549778714378214,31.5,0.00476449382149516,0.889503287465623
0.567232006898157,32.5,0.00458825961348067,0.894091547079104
0.5846852994181,33.5,0.0047400443658908,0.898831591444995
0.602138591938044,34.5,0.00446368867996914,0.903295280124964
0.619591884457987,35.5,0.00428141253999135,0.907576692664955
0.63704517697793,36.5,0.00406280503591588,0.911639497700871
0.654498469497874,37.5,0.00376912746928593,0.915408625170157
0.671951762017817,38.5,0.00369336944230951,0.919101994612467
0.68940505453776,39.5,0.00352733893037986,0.922629333542846
0.706858347057703,40.5,0.00347680032207481,0.926106133864921
0.724311639577647,41.5,0.00358705192331822,0.929693185788239
0.74176493209759,42.5,0.00348218493249873,0.933175370720738
0.759218224617533,43.5,0.00339314144705818,0.936568512167796
0.776671517137477,44.5,0.00329866899152291,0.939867181159319
0.79412480965742,45.5,0.00305934490219105,0.94292652606151
0.811578102177363,46.5,0.00297483345712191,0.945901359518632
0.829031394697307,47.5,0.00303704924741663,0.948938408766049
0.84648468721725,48.5,0.0028872678818659,0.951825676647915
0.863937979737193,49.5,0.00280689927756143,0.954632575925476
0.881391272257136,50.5,0.0028776311645227,0.957510207089999
0.89884456477708,51.5,0.00264785093357541,0.960158058023574
0.916297857297023,52.5,0.00240294008196973,0.962560998105544
0.933751149816966,53.5,0.00227241067920993,0.964833408784754
0.95120444233691,54.5,0.00221065909825662,0.96704406788301
0.968657734856853,55.5,0.00218045951800887,0.969224527401019
0.986111027376796,56.5,0.00209024812266232,0.971314775523682
1.00356431989674,57.5,0.00184293934985675,0.973157714873538
1.02101761241668,58.5,0.0017553817046257,0.974913096578164
1.03847090493663,59.5,0.00161308182989522,0.976526178408059
1.05592419745657,60.5,0.00160343617216252,0.978129614580222
1.07337748997651,61.5,0.00143568549223328,0.979565300072455
1.09083078249646,62.5,0.00144703085246074,0.981012330924916
1.1082840750164,63.5,0.00129895713132716,0.982311288056243
1.12573736753634,64.5,0.00131349011851821,0.983624778174761
1.14319066005629,65.5,0.00127618728311246,0.984900965457874
1.16064395257623,66.5,0.00107681626807967,0.985977781725953
1.17809724509617,67.5,0.00105953917725274,0.987037320903206
