id,date_init,x_init,UTM_E_init,UTM_N_init,date_now,x_now,UTM_E_now,UTM_N_now,dx
usa_NC_0032_0079,01-Jan-1872,2101.7027755085,453214.045117144,3901421.57769089,08-Dec-2019,1599.42446258893,452688.356229647,3901489.0402254,-502.27831291957
usa_NC_0032_0080,01-Jan-1852,2458.78098371934,453562.871797284,3901498.19882902,08-Dec-2019,1652.8063388522,452721.685735217,3901594.67109957,-805.97464486714
usa_NC_0032_0081,01-Jan-1872,2165.20354878293,453239.572575364,3901617.89277756,08-Dec-2019,1676.053401036,452730.668385212,3901668.35548901,-489.15014774693
usa_NC_0032_0082,01-Jan-1872,2199.63290003754,453255.185381159,3901715.46405896,08-Dec-2019,1699.29097644409,452733.385806901,3901773.34500837,-500.34192359345
usa_NC_0032_0083,01-Jan-1872,2257.50535736375,453284.321372477,3901864.99766556,08-Dec-2019,1738.48166784059,452748.437913978,3901898.0208227,-519.02368952316
usa_NC_0032_0084,01-Jan-1872,2308.73509327139,453308.819179801,3902003.84262242,08-Dec-2019,1778.99592597449,452764.759776953,3902023.09687318,-529.7391672969
usa_NC_0032_0085,01-Jan-1872,2356.9182103354,453332.885515555,3902129.29898883,08-Dec-2019,1813.98775033862,452777.455799419,3902138.13530214,-542.93045999678
usa_NC_0032_0086,01-Jan-1872,2377.40369551731,453336.382044719,3902216.34479814,08-Dec-2019,1839.2196227748,452786.507201569,3902221.60472887,-538.18407274251
usa_NC_0032_0087,01-Jan-1852,2656.97127740141,453606.324016095,3902292.17387154,08-Dec-2019,1864.21141411631,452795.886152518,3902302.20977114,-792.7598632851
usa_NC_0032_0088,01-Jan-1872,2431.34907129409,453361.949650615,3902363.69483082,08-Dec-2019,1887.86610782451,452806.015274627,3902372.23705503,-543.48296346958
usa_NC_0032_0089,01-Jan-1852,2683.15134312169,453606.912701815,3902422.83281667,08-Dec-2019,1906.18884344492,452812.389039813,3902433.84692208,-776.96249967677
usa_NC_0032_0090,01-Jan-1872,2477.52922294103,453382.657658805,3902495.73577325,08-Dec-2019,1931.7116846746,452821.185122553,3902520.07896603,-545.81753826643
usa_NC_0032_0091,01-Jan-1852,2707.60885501168,453609.277334206,3902535.81353758,08-Dec-2019,1947.56826244189,452827.498665106,3902569.40464563,-760.04059256979
usa_NC_0032_0092,01-Jan-1852,2722.50490150815,453614.490392556,3902585.74456413,08-Dec-2019,1962.85344660386,452832.94706079,3902620.14384572,-759.65145490429
usa_NC_0032_0093,01-Jan-1852,2737.95845400328,453620.279571695,3902635.63759197,08-Dec-2019,1979.66769799795,452839.971404842,3902670.79971281,-758.29075600533
usa_NC_0032_0094,01-Jan-1852,2753.09011146366,453625.7401099,3902685.53253224,08-Dec-2019,1998.39257369473,452848.965412908,3902721.34915007,-754.69753776893
usa_NC_0032_0095,01-Jan-1852,2760.21351894432,453622.958924596,3902735.80356789,08-Dec-2019,2003.48057691929,452843.924652597,3902772.54064793,-756.73294202503
usa_NC_0032_0096,01-Jan-1852,2766.57176699956,453619.388914222,3902786.11733448,08-Dec-2019,2021.48303109145,452852.179798742,3902823.10088655,-745.08873590811
usa_NC_0032_0097,01-Jul-1852,2770.31866303808,453613.128171319,3902836.56999763,08-Dec-2019,2037.15991747447,452858.043505662,3902873.76069122,-733.15874556361
usa_NC_0032_0098,01-Jan-1872,2313.28840512896,453132.331373677,3902910.29051534,08-Dec-2019,2053.19861005489,452864.457511828,3902923.51300141,-260.08979507407
usa_NC_0032_0099,01-Jan-1872,2618.70267638424,453436.837071494,3902945.05341072,08-Dec-2019,2073.62801505375,452875.506556965,3902972.47700382,-545.07466133049
usa_NC_0032_0100,01-Jan-1852,2801.66960614229,453615.194220058,3902986.22424792,08-Dec-2019,2099.09381656141,452891.739290835,3903021.20217502,-702.57578958088
usa_NC_0032_0101,01-Jan-1852,2813.65224777193,453613.716465068,3903054.77060146,08-Dec-2019,2126.08964630598,452905.819846494,3903088.5058562,-687.56260146595
usa_NC_0032_0102,01-Jan-1852,2823.90835466825,453610.456758903,3903123.42346547,08-Dec-2019,2148.54178079846,452914.182700388,3903161.23517582,-675.36657386979
usa_NC_0032_0103,01-Jan-1852,2836.86545188631,453611.08667997,3903186.3951677,08-Dec-2019,2166.48747159701,452920.711209885,3903220.1464685,-670.3779802893
usa_NC_0032_0104,01-Jan-1852,2847.21535627549,453611.620733117,3903236.54131986,08-Dec-2019,2179.26863338443,452923.583112313,3903271.00060538,-667.94672289106
usa_NC_0032_0105,01-Jan-1852,2859.82496493198,453614.483540589,3903286.56548276,08-Dec-2019,2195.08453552645,452929.58342198,3903321.68623915,-664.74042940553
usa_NC_0032_0106,01-Jan-1852,2874.85476637374,453619.842187394,3903336.450523,08-Dec-2019,2214.77325039673,452939.578104059,3903372.1466982,-660.08151597701
usa_NC_0032_0107,01-Jan-1852,2887.99700520626,453623.262183803,3903386.40448028,08-Dec-2019,2234.60689807881,452949.731507939,3903422.55249087,-653.39010712745
usa_NC_0032_0108,01-Jan-1852,2900.16095178961,453625.6936075,3903436.31309782,08-Dec-2019,2267.40426801304,452973.274815774,3903472.10807237,-632.75668377657
usa_NC_0032_0109,01-Jan-1852,2912.04190231977,453627.821070648,3903486.29863142,08-Dec-2019,2270.62059013217,452966.270419396,3903523.5745731,-641.4213121876
usa_NC_0032_0110,01-Jan-1852,2925.82273450151,453631.899347856,3903536.21724435,08-Dec-2019,2291.74054645863,452977.69894722,3903574.16359869,-634.08218804288
usa_NC_0032_0111,01-Jan-1852,2941.70756978245,453638.146870251,3903586.0175203,08-Dec-2019,2306.93234193362,452983.011837271,3903625.10432833,-634.77522784883
usa_NC_0032_0112,01-Jan-1852,2955.56684581611,453642.302370511,3903635.95000338,08-Dec-2019,2329.57558271398,452996.016310242,3903675.58052575,-625.99126310213
usa_NC_0032_0113,01-Jan-1872,2858.39134201152,453531.782648853,3903693.11543192,08-Dec-2019,2343.22572895286,452999.736737815,3903726.62302132,-515.16561305866
usa_NC_0032_0114,01-Jan-1852,2988.955951582,453656.465111146,3903735.46925925,08-Dec-2019,2358.49204322522,453005.124337482,3903777.57016853,-630.46390835678
usa_NC_0032_0115,01-Jan-1852,3004.47644499352,453662.33278853,3903785.31107268,08-Dec-2019,2392.73349389958,453030.120601485,3903827.22420369,-611.74295109394
usa_NC_0032_0116,01-Jan-1852,2695.84904313387,453333.092795202,3903857.93023936,08-Dec-2019,2397.4487606102,453024.60425343,3903878.89353098,-298.40028252367
usa_NC_0032_0117,01-Jan-1852,3033.36776756794,453671.841915227,3903885.16517723,08-Dec-2019,2420.14729040785,453037.676669269,3903929.3118738,-613.22047716009
